item_nr,participant,block_nr,trial_nr,set_nr,word1,word2,probe,response,RT,hit,Unnamed: 10,condition,experiment,zipf_adj,zipf_noun,freq_dep,freq_seq,length_adj,length_noun,composition,denotation,concreteness,specificity
311,12,1,1,52,artificial,language,,,,,,abstract_privative,compose,3.85,4.82,0.0,0.0,10,8,phrase,privative,abstract,
100,12,1,2,17,important,blessing,,,,,,abstract_subsective,compose,5.57,3.81,0.0,0.0,9,8,phrase,subsective,abstract,
39,12,1,3,7,kmlsdjtw,sunshine,,,,,,concrete_baseline,compose,0.0,4.75,0.0,0.0,8,8,word,baseline,concrete,
540,12,1,4,90,mghljkqr,issue,Is it to be investigated?,Rb,1.5132591724395752,1.0,,abstract_baseline,compose,0.0,5.18,0.0,0.0,8,5,word,baseline,abstract,
166,12,1,5,28,current,option,,,,,,abstract_subsective,compose,4.81,4.61,0.0,0.0,7,6,phrase,subsective,abstract,
189,12,1,6,32,kmlsdjtw,battle,Is it violent?,Rb,1.5541326999664309,1.0,,concrete_baseline,compose,0.0,4.94,0.0,0.0,8,6,word,baseline,concrete,
786,12,1,7,62,zbxlv,stench,,,,,,high,specificity,0.0,3.2,,,5,6,word,,,high
665,12,1,8,22,hairless,cat,,,,,,mid,specificity,2.52,4.83,,,8,3,phrase,,,mid
876,12,1,9,92,rvqf,potato,,,,,,high,specificity,0.0,4.44,,,4,6,word,,,high
868,12,1,10,90,ptrgsbkv,vegetable,,,,,,low,specificity,0.0,4.18,,,8,9,word,,,low
538,12,1,11,90,authentic,issue,,,,,,abstract_subsective,compose,3.73,5.18,5.62e-10,3.24e-10,9,5,phrase,subsective,abstract,
204,12,1,12,34,fxldmr,method,,,,,,abstract_baseline,compose,0.0,4.12,0.0,0.0,6,6,word,baseline,abstract,
869,12,1,13,90,leafy,vegetable,Is it fibrous?,Rb,1.5940055847167969,1.0,,mid,specificity,3.41,4.18,,,5,9,phrase,,,mid
315,12,1,14,53,xkq,corpse,,,,,,concrete_baseline,compose,0.0,3.41,0.0,0.0,3,6,word,baseline,concrete,
26,12,1,15,5,hypothetical,brush,,,,,,concrete_privative,compose,3.13,4.29,0.0,0.0,12,5,phrase,privative,concrete,
64,12,1,16,11,special,caution,,,,,,abstract_subsective,compose,5.32,3.81,2.75e-08,3.39e-08,7,7,phrase,subsective,abstract,
898,12,1,17,100,kmlsdjtw,wine,,,,,,low,specificity,0.0,4.84,,,8,4,word,,,low
890,12,1,18,97,armoured,vehicle,,,,,,mid,specificity,3.39,4.52,,,8,7,phrase,,,mid
463,12,1,19,78,real,shotgun,Is it to be handled with care?,Rb,1.0846035480499268,1.0,,concrete_subsective,compose,5.53,3.49,0.0,0.0,4,7,phrase,subsective,concrete,
806,12,1,20,69,large,reptile,,,,,,mid,specificity,5.1,3.36,,,5,7,phrase,,,mid
42,12,1,21,7,xkq,respect,,,,,,abstract_baseline,compose,0.0,4.77,0.0,0.0,3,7,word,baseline,abstract,
362,12,1,22,61,false,barrel,,,,,,concrete_privative,compose,4.76,4.06,0.0,0.0,5,6,phrase,privative,concrete,
846,12,1,23,82,ypdcglkc,shears,,,,,,high,specificity,0.0,2.94,,,8,6,word,,,high
845,12,1,24,82,cutting,tool,,,,,,mid,specificity,4.71,4.07,,,7,4,phrase,,,mid
235,12,1,25,40,good,wreck,,,,,,concrete_subsective,compose,6.35,3.96,0.0,0.0,4,5,phrase,subsective,concrete,
774,12,1,26,58,qxsw,whale,,,,,,high,specificity,0.0,4.14,,,4,5,word,,,high
739,12,1,27,47,ypdcglkc,handle,,,,,,low,specificity,0.0,4.59,,,8,6,word,,,low
451,12,1,28,76,true,novel,,,,,,concrete_subsective,compose,5.33,4.43,0.0,0.0,4,5,phrase,subsective,concrete,
733,12,1,29,45,wvcnz,gem,Is it shiny?,Ry,1.3338212966918943,0.0,,low,specificity,0.0,3.95,,,5,3,word,,,low
8,12,1,30,2,past,poison,,,,,,concrete_privative,compose,5.3,3.92,1.29e-10,1.32e-10,4,6,phrase,privative,concrete,
722,12,1,31,41,juicy,fruit,,,,,,mid,specificity,3.86,4.73,,,5,5,phrase,,,mid
436,12,1,32,73,genuine,nuisance,,,,,,abstract_subsective,compose,4.37,3.7,0.0,0.0,7,8,phrase,subsective,abstract,
775,12,1,33,59,wvcnz,mammal,,,,,,low,specificity,0.0,3.71,,,5,6,word,,,low
353,12,1,34,59,imaginary,allure,,,,,,abstract_privative,compose,3.56,2.94,0.0,0.0,9,6,phrase,privative,abstract,
529,12,1,35,89,actual,carcass,Is it still living?,Rb,1.514247179031372,0.0,,concrete_subsective,compose,4.6,3.45,3.55e-10,2.04e-09,6,7,phrase,subsective,concrete,
430,12,1,36,72,perfect,power,,,,,,abstract_subsective,compose,5.28,5.29,0.0,0.0,7,5,phrase,subsective,abstract,
595,12,1,37,100,genuine,syringe,,,,,,concrete_subsective,compose,4.37,3.12,0.0,0.0,7,7,phrase,subsective,concrete,
831,12,1,38,77,mtpv,crisps,,,,,,high,specificity,0.0,3.91,,,4,6,word,,,high
677,12,1,39,26,professional,cook,,,,,,mid,specificity,4.69,5.03,,,12,4,phrase,,,mid
490,12,1,40,82,unique,neglect,,,,,,abstract_subsective,compose,4.66,3.65,0.0,0.0,6,7,phrase,subsective,abstract,
741,12,1,41,47,tqvgqrz,knob,,,,,,high,specificity,0.0,3.5,,,7,4,word,,,high
460,12,1,42,77,old,ordeal,,,,,,abstract_subsective,compose,5.79,3.63,0.0,0.0,3,6,phrase,subsective,abstract,
639,12,1,43,13,zrtqgfplh,church,,,,,,high,specificity,0.0,5.02,,,9,6,word,,,high
798,12,1,44,66,bxfjwts,shark,,,,,,high,specificity,0.0,4.17,,,7,5,word,,,high
246,12,1,45,41,vpbyzkgrf,progress,,,,,,abstract_baseline,compose,0.0,4.68,0.0,0.0,9,8,word,baseline,abstract,
5,12,1,46,1,past,longing,,,,,,abstract_privative,compose,5.3,3.41,2.16e-10,1.66e-10,4,7,phrase,privative,abstract,
215,12,1,47,36,fake,service,,,,,,abstract_privative,compose,4.51,5.2,0.0,0.0,4,7,phrase,privative,abstract,
214,12,1,48,36,bad,service,,,,,,abstract_subsective,compose,5.56,5.2,0.0,0.0,3,7,phrase,subsective,abstract,
618,12,1,49,6,fxldmr,owl,Does it have feathers?,Rb,2.1213293075561523,1.0,,high,specificity,0.0,4.07,,,6,3,word,,,high
184,12,1,50,31,current,reserve,,,,,,abstract_subsective,compose,4.81,4.63,0.0,0.0,7,7,phrase,subsective,abstract,
632,12,1,51,11,rain,boots,,,,,,mid,specificity,5.08,4.36,,,4,5,phrase,,,mid
264,12,1,52,44,zrtqgfplh,virtue,,,,,,abstract_baseline,compose,0.0,3.51,0.0,0.0,9,6,word,baseline,abstract,
384,12,1,53,64,tqvgqrz,remorse,,,,,,abstract_baseline,compose,0.0,3.29,0.0,0.0,7,7,word,baseline,abstract,
573,12,1,54,96,vpbyzkgrf,missile,,,,,,concrete_baseline,compose,0.0,3.66,0.0,0.0,9,7,word,baseline,concrete,
625,12,1,55,9,wvcnz,bird,,,,,,low,specificity,0.0,4.85,,,5,4,word,,,low
489,12,1,56,82,ypdcglkc,vomit,,,,,,concrete_baseline,compose,0.0,3.46,0.0,0.0,8,5,word,baseline,concrete,
678,12,1,57,26,zbxlv,chef,,,,,,high,specificity,0.0,4.7,,,5,4,word,,,high
