item_nr,participant,block_nr,trial_nr,set_nr,word1,word2,probe,response,RT,hit,Unnamed: 10,condition,experiment,zipf_adj,zipf_noun,freq_dep,freq_seq,length_adj,length_noun,composition,denotation,concreteness,specificity
393,13,1,1,66,mtpv,froth,,,,,,concrete_baseline,compose,0.0,3.01,0.0,0.0,4,5,word,baseline,concrete,
774,13,1,2,58,qxsw,whale,,,,,,high,specificity,0.0,4.14,,,4,5,word,,,high
547,13,1,3,92,average,bongo,,,,,,concrete_subsective,compose,4.73,3.04,0.0,0.0,7,5,phrase,subsective,concrete,
403,13,1,4,68,genuine,vessel,,,,,,concrete_subsective,compose,4.37,3.93,0.0,0.0,7,6,phrase,subsective,concrete,
834,13,1,5,78,zrtqgfplh,python,,,,,,high,specificity,0.0,3.59,,,9,6,word,,,high
868,13,1,6,90,ptrgsbkv,vegetable,,,,,,low,specificity,0.0,4.18,,,8,9,word,,,low
220,13,1,7,37,actual,outcome,,,,,,abstract_subsective,compose,4.6,4.28,0.0,0.0,6,7,phrase,subsective,abstract,
721,13,1,8,41,zbxlv,fruit,,,,,,low,specificity,0.0,4.73,,,5,5,word,,,low
23,13,1,9,4,past,spirit,,,,,,abstract_privative,compose,5.3,4.66,6.09e-10,4.09e-10,4,6,phrase,privative,abstract,
725,13,1,10,42,crisp,fruit,,,,,,mid,specificity,4.05,4.73,,,5,5,phrase,,,mid
286,13,1,11,48,current,trust,,,,,,abstract_subsective,compose,4.81,5.02,0.0,0.0,7,5,phrase,subsective,abstract,
484,13,1,12,81,average,attempt,,,,,,abstract_subsective,compose,4.73,4.6,0.0,0.0,7,7,phrase,subsective,abstract,
849,13,1,13,83,rvqf,spade,,,,,,high,specificity,0.0,3.59,,,4,5,word,,,high
829,13,1,14,77,rjdnw,snacks,,,,,,low,specificity,0.0,3.49,,,5,6,word,,,low
575,13,1,15,96,fictitious,hardship,Is it to be investigated?,Ry,1.5116658210754397,0.0,,abstract_privative,compose,2.91,3.52,0.0,0.0,10,8,phrase,privative,abstract,
694,13,1,16,32,rvqf,dog,,,,,,low,specificity,0.0,5.17,,,4,3,word,,,low
730,13,1,17,44,vpbyzkgrf,gem,,,,,,low,specificity,0.0,3.95,,,9,3,word,,,low
782,13,1,18,61,magnetic,metal,,,,,,mid,specificity,3.7,4.63,,,8,5,phrase,,,mid
320,13,1,19,54,fictitious,mansion,,,,,,concrete_privative,compose,2.91,3.84,0.0,0.0,10,7,phrase,privative,concrete,
795,13,1,20,65,zbxlv,turkey,,,,,,high,specificity,0.0,4.35,,,5,6,word,,,high
610,13,1,21,4,vpbyzkgrf,bird,,,,,,low,specificity,0.0,4.85,,,9,4,word,,,low
643,13,1,22,15,bxfjwts,building,,,,,,low,specificity,0.0,5.24,,,7,8,word,,,low
175,13,1,23,30,perfect,dinner,,,,,,concrete_subsective,compose,5.28,4.77,0.0,0.0,7,6,phrase,subsective,concrete,
468,13,1,24,78,zrtqgfplh,sorrow,,,,,,abstract_baseline,compose,0.0,3.56,0.0,0.0,9,6,word,baseline,abstract,
739,13,1,25,47,ypdcglkc,handle,,,,,,low,specificity,0.0,4.59,,,8,6,word,,,low
431,13,1,26,72,mock,power,,,,,,abstract_privative,compose,3.74,5.29,0.0,0.0,4,5,phrase,privative,abstract,
859,13,1,27,87,qxsw,vegetable,Is it good for your health?,Rb,1.460094928741455,1.0,,low,specificity,0.0,4.18,,,4,9,word,,,low
226,13,1,28,38,actual,mood,,,,,,abstract_subsective,compose,4.6,4.5,0.0,0.0,6,4,phrase,subsective,abstract,
378,13,1,29,63,xkq,setback,,,,,,abstract_baseline,compose,0.0,3.51,0.0,0.0,3,7,word,baseline,abstract,
6,13,1,30,1,vpbyzkgrf,longing,,,,,,abstract_baseline,compose,0.0,3.41,0.0,0.0,9,7,word,baseline,abstract,
260,13,1,31,44,counterfeit,midwife,,,,,,concrete_privative,compose,3.64,3.59,0.0,0.0,11,7,phrase,privative,concrete,
881,13,1,32,94,medical,vehicle,Is it fast?,Rb,0.9414820671081544,1.0,,mid,specificity,4.63,4.52,,,7,7,phrase,,,mid
329,13,1,33,55,counterfeit,fault,,,,,,abstract_privative,compose,3.64,4.75,0.0,0.0,11,5,phrase,privative,abstract,
471,13,1,34,79,ptrgsbkv,slime,,,,,,concrete_baseline,compose,0.0,3.57,0.0,0.0,8,5,word,baseline,concrete,
